korpus,deck,unbekannteKarten,totalCards,fastManaCount,landCount,untappedLandPercent,averageCmc,cheapCardRatio,manaByTurn3,cheapestWinComboMana,earliestWinTurn,completeComboCount,winComboCount,distinctWinLines,tutorCount,drawCount,freeInteractionCount,counterspellCount,removalCount,boardwipeCount,rampCount,interactionDensity,gameChangerCount,colorCount,simMedianWinTurn,simWinByTurn3,simWinByTurn4,simWinByTurn5,simWinRate
cEDH,thranduil-the-elvenking,0,100,8,27,100,1.96,0.31,3.5,6,10,9,3,2,13,8,6,9,4,1,26,0.19,20,5,7,0.0305,0.063,0.1085,0.4275
cEDH,the-great-goblin,0,100,15,27,96,1.85,0.3,4.6,8,10,13,1,5,9,5,5,3,9,1,26,0.17,14,5,8,0.001,0.0025,0.0055,0.0375
cEDH,smaug-the-impenetrable,0,100,15,28,96,2.42,0.21,4.6,12,,7,3,10,6,4,5,2,15,4,27,0.22,17,5,8,0.0175,0.038,0.0655,0.372
cEDH,bard-king-of-dale,0,100,8,28,96,2.24,0.25,3.3,,,10,0,0,3,17,7,15,9,1,16,0.31,14,5,,0,0,0,0
cEDH,the-madcap-jester,0,99,12,26,96,1.89,0.29292929292929293,4,4,3,6,4,7,6,7,12,11,7,0,22,0.30303030303030304,20,5,7,0.029,0.0565,0.0955,0.319
cEDH,kinnan-bonder-prodigy,0,100,8,27,100,2.53,0.24,3.2,,,9,0,0,4,10,6,12,8,1,27,0.26,15,5,,0,0,0,0
cEDH,kraum-ludevics-opus-tymna-the-weaver,0,99,12,26,100,1.89,0.32323232323232326,4.2,4,3,7,4,7,7,11,9,11,7,0,23,0.2727272727272727,23,5,7,0.032,0.058,0.094,0.3145
cEDH,thrasios-triton-hero-tymna-the-weaver,0,100,6,27,100,1.99,0.28,3.1,6,,6,2,2,10,11,7,9,9,2,24,0.25,22,5,8,0.009,0.031,0.0605,0.3005
cEDH,rograkh-son-of-rohgahh-silas-renn-seeker-adept,0,100,15,24,96,1.83,0.33,4.3,4,3,6,4,7,5,10,12,12,7,0,24,0.31,20,5,7,0.0285,0.0515,0.077,0.2685
cEDH,sisay-weatherlight-captain,0,99,6,28,100,2.04,0.26262626262626265,3.2,,,7,0,0,9,12,7,10,12,1,31,0.29292929292929293,14,5,,0,0,0,0
cEDH,vivi-ornitier,0,100,10,27,96,1.95,0.37,3.6,4,4,7,2,5,3,19,9,13,12,1,19,0.34,15,5,8,0.007,0.012,0.013,0.043
cEDH,rograkh-son-of-rohgahh-thrasios-triton-hero,0,100,6,29,100,2,0.28,3.2,,,1,0,0,7,8,6,8,8,1,23,0.22,13,5,,0,0,0,0
cEDH,yuriko-the-tigers-shadow,0,100,6,31,97,2.43,0.3,3.4,6,10,3,3,2,6,11,7,9,12,0,7,0.28,12,5,8,0.006,0.0105,0.019,0.177
cEDH,krrik-son-of-yawgmoth,0,100,11,30,100,2.99,0.19,4.4,11,,9,2,10,7,6,3,0,8,1,17,0.11,14,5,9,0,0,0,0.013
cEDH,magda-brazen-outlaw,0,100,7,29,97,2.2,0.27,3.3,,,7,0,0,3,4,5,4,18,1,17,0.27,5,5,,0,0,0,0
cEDH,etali-primal-conqueror,0,100,15,29,97,2.48,0.24,4.6,,,8,0,0,2,6,4,2,11,0,35,0.17,13,5,,0,0,0,0
cEDH,kefka-court-mage,0,100,12,29,100,1.97,0.28,4.4,4,3,6,4,7,6,10,11,11,9,2,21,0.31,23,5,7,0.0325,0.0635,0.092,0.3035
cEDH,glarb-calamitys-augur,0,98,8,27,96,2.13,0.29591836734693877,3.5,6,10,3,3,2,8,10,7,9,9,2,19,0.25510204081632654,20,5,7.5,0.0175,0.037,0.072,0.312
cEDH,urza-lord-high-artificer,0,100,9,30,100,2.03,0.26,3.6,,,7,0,0,5,14,8,14,7,1,14,0.29,11,5,,0,0,0,0
cEDH,tivit-seller-of-secrets,0,100,8,30,100,1.96,0.26,3.6,6,9,7,3,4,7,11,6,12,11,2,20,0.29,20,5,8,0.0195,0.047,0.09,0.511
cEDH,hashaton-scarabs-fist,0,100,9,29,100,2.3,0.29,3.8,6,9,5,3,2,7,15,7,10,7,1,16,0.24,21,5,8,0.0105,0.0215,0.034,0.2285
cEDH,ob-nixilis-captive-kingpin,0,100,15,26,96,1.93,0.24,4.4,6,7,8,3,4,6,5,6,3,13,1,24,0.22,13,5,7,0.074,0.129,0.2045,0.583
cEDH,najeela-the-blade-blossom,0,99,9,28,100,1.89,0.3333333333333333,3.7,4,4,7,7,22,9,8,7,8,7,1,27,0.2222222222222222,22,5,5,0.205,0.383,0.53,0.881
cEDH,thrasios-triton-hero-yoshimaru-ever-faithful,0,100,6,30,100,1.96,0.29,3.3,,,10,0,0,6,11,5,8,7,1,23,0.2,14,5,,0,0,0,0
cEDH,atraxa-grand-unifier,0,97,8,27,100,1.99,0.30927835051546393,3.4,6,10,8,2,2,8,9,6,8,9,2,22,0.23711340206185566,20,5,7,0.0165,0.0335,0.0555,0.291
cEDH,ral-monsoon-mage,0,100,12,22,100,2.05,0.29,3.4,4,5,11,2,5,3,22,15,10,12,0,23,0.37,10,5,8,0.0035,0.0095,0.013,0.041
cEDH,terra-magical-adept,0,99,12,27,100,1.88,0.3333333333333333,4.3,4,3,5,4,7,7,8,8,8,5,1,30,0.21212121212121213,22,5,7,0.0525,0.0795,0.1145,0.344
cEDH,winota-joiner-of-forces,0,100,5,31,100,2.2,0.24,3.3,6,,4,4,9,2,4,4,4,11,0,13,0.19,6,5,9,0.0005,0.0015,0.009,0.103
cEDH,stella-lee-wild-card,0,100,10,27,100,1.7,0.36,3.6,4,4,4,2,5,6,20,10,13,9,1,17,0.32,14,5,7,0.005,0.0115,0.017,0.06
cEDH,lathril-blade-of-the-elves,0,100,5,32,97,2.51,0.21,3.5,,,8,0,0,7,10,1,0,6,0,20,0.07,12,5,,0,0,0,0
cEDH,muldrotha-the-gravetide,0,100,7,32,100,1.85,0.32,3.9,6,8,8,3,2,10,5,5,6,11,3,20,0.22,19,5,7,0.019,0.0485,0.094,0.381
cEDH,sidisi-brood-tyrant,0,99,7,27,96,1.94,0.29292929292929293,3.4,5,7,7,7,2,10,6,7,9,7,2,20,0.23232323232323232,17,5,7,0.0475,0.0875,0.15,0.5055
cEDH,experiment-kraj,0,100,3,35,97,2.12,0.19,3.2,,,19,0,0,2,9,3,11,6,0,19,0.2,5,5,,0,0,0,0
cEDH,tasigur-the-golden-fang,0,100,6,27,100,2.44,0.28,3.1,6,,4,2,2,8,8,8,10,11,3,18,0.29,23,5,8,0.0095,0.0255,0.046,0.2235
cEDH,abomination-of-llanowar,0,100,5,29,79,2.62,0.2,3.1,,,0,0,0,5,8,2,1,16,2,20,0.19,5,5,,0,0,0,0
cEDH,wort-boggart-auntie,0,100,4,29,97,2.32,0.22,3.2,,,2,0,0,8,9,6,4,18,1,16,0.28,6,5,,0,0,0,0
cEDH,pashalik-mons,0,100,8,28,96,2.92,0.14,3.5,,,6,0,0,2,19,5,3,15,6,24,0.23,3,5,,0,0,0,0
cEDH,juri-master-of-the-revue,0,100,10,30,100,2.13,0.23,4.4,6,7,20,8,12,7,6,4,1,11,1,29,0.16,15,5,6,0.056,0.1025,0.1475,0.373
cEDH,mauhur-uruk-hai-captain,0,100,1,38,92,2.58,0.12,3,,,0,0,0,0,8,0,0,15,2,17,0.15,1,5,,0,0,0,0
cEDH,grenzo-dungeon-warden,0,100,12,28,96,2.25,0.23,4.3,7,9,6,1,5,9,1,5,2,9,1,30,0.16,14,5,8,0.002,0.003,0.0045,0.045
cEDH,rivaz-of-the-claw,0,100,11,34,97,2.89,0.16,4.6,9,,9,2,8,7,2,4,1,13,4,27,0.18,10,5,8,0.0065,0.017,0.032,0.2025
cEDH,bladewing-the-risen,0,100,14,26,96,2.47,0.24,4.4,12,,19,11,8,6,4,4,2,10,2,26,0.16,14,5,9,0,0.001,0.0015,0.0325
cEDH,ognis-the-dragons-lash,0,100,9,27,100,2.58,0.19,3.8,5,6,11,6,13,8,5,5,2,10,0,30,0.17,14,5,7,0.0545,0.0915,0.1465,0.4465
cEDH,ziatora-the-incinerator,0,100,5,33,97,3.33,0.13,3.6,15,,6,6,3,3,8,1,0,14,1,21,0.15,8,5,,0,0,0,0
cEDH,korvold-fae-cursed-king,0,100,13,30,100,1.76,0.35,4.7,,,2,0,0,7,4,4,3,9,1,33,0.16,16,5,,0,0,0,0
cEDH,the-council-of-four,0,100,6,32,100,2.4,0.19,3.5,5,7,1,1,3,1,25,6,13,10,3,17,0.29,11,5,7,0.003,0.0075,0.014,0.0375
cEDH,shorikai-genesis-engine,0,100,7,30,97,2.19,0.27,3.4,,,5,0,0,3,11,8,14,13,4,17,0.35,15,5,,0,0,0,0
cEDH,ephara-god-of-the-polis,0,100,6,33,82,2.21,0.2,3.4,5,7,3,1,3,2,10,7,15,13,5,13,0.35,9,5,8,0.002,0.005,0.014,0.0855
cEDH,minn-wily-illusionist,0,100,6,28,100,2.18,0.25,3.2,10,,2,2,8,4,26,7,16,9,1,10,0.32,13,5,9,0,0,0,0.0045
cEDH,mondrak-glory-dominus,0,100,2,29,97,3.27,0.14,2.8,,,0,0,0,2,7,5,1,11,7,9,0.17,6,5,,0,0,0,0
cEDH,jeleva-nephalias-scourge,0,100,10,28,100,2.06,0.28,4,4,3,7,5,7,7,11,10,12,7,2,20,0.29,23,5,7,0.0295,0.063,0.098,0.367
cEDH,evelyn-the-covetous,0,100,10,28,100,1.99,0.28,4,4,3,8,4,7,7,10,9,11,7,1,17,0.27,21,5,7,0.0315,0.054,0.085,0.288
cEDH,don-andres-the-renegade,0,100,9,26,96,2.2,0.24,3.4,4,5,5,4,7,8,10,11,10,6,1,19,0.27,22,5,7.5,0.0245,0.039,0.0645,0.261
cEDH,prosper-tome-bound,0,100,14,28,96,2.08,0.24,4.5,,,6,0,0,9,5,7,3,8,1,26,0.18,17,5,,0,0,0,0
cEDH,tasha-the-witch-queen,0,100,9,32,100,2.24,0.21,4.1,6,8,6,6,2,7,13,8,12,7,3,15,0.27,19,5,7,0.0255,0.057,0.1015,0.3735
cEDH,thrasios-triton-hero,0,100,7,34,100,2.08,0.26,3.7,,,7,0,0,4,9,7,13,8,1,27,0.28,15,5,,0,0,0,0
cEDH,gretchen-titchwillow,0,100,6,34,97,1.89,0.28,3.6,,,15,0,0,6,9,6,11,7,1,25,0.24,14,5,,0,0,0,0
cEDH,selvala-heart-of-the-wilds,0,100,5,29,100,2.76,0.28,3.2,,,19,0,0,5,12,1,0,8,0,20,0.09,8,5,,0,0,0,0
cEDH,kruphix-god-of-horizons,0,100,4,33,100,2.36,0.19,3.4,,,6,0,0,7,17,6,13,4,1,22,0.23,13,5,,0,0,0,0
cEDH,svella-ice-shaper,0,100,1,36,97,3.91,0.05,3.1,,,0,0,0,0,7,6,1,29,5,19,0.36,0,5,,0,0,0,0
cEDH,jodah-the-unifier,0,100,5,32,100,2.46,0.21,3.3,6,,7,4,7,7,12,6,7,8,2,28,0.21,17,5,7,0.0245,0.068,0.1255,0.423
cEDH,captain-sisay,0,100,6,28,96,2.29,0.29,3.1,,,9,0,0,7,6,0,0,11,2,24,0.11,11,5,,0,0,0,0
cEDH,esika-god-of-the-tree,0,98,11,26,100,1.92,0.32653061224489793,3.8,4,4,6,4,7,7,9,8,9,5,1,29,0.22448979591836735,20,5,7,0.027,0.0485,0.0855,0.341
cEDH,kenrith-the-returned-king,0,97,7,27,100,1.89,0.30927835051546393,3.5,4,5,5,4,7,10,8,6,9,8,2,28,0.23711340206185566,24,5,7,0.0375,0.0725,0.1215,0.3995
cEDH,kethis-the-hidden-hand,0,100,10,25,100,1.81,0.3,3.7,,,0,0,0,12,9,0,1,7,1,27,0.08,18,5,,0,0,0,0
cEDH,shanid-sleepers-scourge,0,100,9,29,100,2.1,0.25,3.6,5,7,1,1,3,6,10,4,2,11,1,30,0.17,15,5,7,0.0165,0.035,0.06,0.1815
cEDH,vadrik-astral-archmage,0,100,10,28,100,2.4,0.2,3.5,4,5,7,3,8,5,14,9,8,6,1,29,0.23,12,5,7,0.015,0.0445,0.0755,0.257
cEDH,veyran-voice-of-duality,0,100,11,27,100,2,0.3,3.8,4,4,5,2,5,4,17,10,12,8,2,22,0.3,13,5,7,0.0055,0.009,0.013,0.0505
cEDH,mizzix-of-the-izmagnus,0,100,10,29,97,2.34,0.25,3.8,4,4,11,2,5,5,18,9,12,6,1,26,0.27,16,5,8,0.0045,0.011,0.015,0.0585
cEDH,galazeth-prismari,0,100,10,29,100,2.03,0.26,3.8,4,4,8,2,5,4,13,11,14,6,1,23,0.31,15,5,6,0.009,0.0125,0.0185,0.039
cEDH,ghyrson-starn-kelermorph,0,100,8,30,97,1.9,0.32,3.6,4,4,7,5,8,3,14,8,12,17,6,18,0.37,13,5,8,0.007,0.0085,0.018,0.115
cEDH,zaffai-thunder-conductor,0,100,12,26,96,2.73,0.25,3.7,4,4,9,2,5,5,5,8,11,6,0,26,0.25,13,5,7,0.0085,0.0135,0.022,0.0695
cEDH,satoru-umezawa,0,100,8,31,100,2.74,0.3,3.7,6,9,21,7,9,5,10,9,13,7,3,11,0.29,18,5,8,0.008,0.017,0.032,0.185
cEDH,edric-spymaster-of-trest,0,100,4,29,100,2.27,0.36,3,,,0,0,0,1,10,8,13,6,1,16,0.27,9,5,,0,0,0,0
cEDH,grazilaxx-illithid-scholar,0,100,5,30,100,2.29,0.33,3.2,,,0,0,0,3,13,11,17,11,1,8,0.39,9,5,,0,0,0,0
cEDH,vela-the-night-clad,0,100,1,34,85,3.58,0.03,2.9,,,0,0,0,0,14,3,5,16,2,14,0.24,0,5,,0,0,0,0
cEDH,higure-the-still-wind,0,100,8,32,100,2.4,0.21,3.9,8,,11,10,6,4,15,6,11,7,1,17,0.24,12,5,9,0,0,0.001,0.03
cEDH,kamiz-obscura-oculus,0,100,5,30,100,2.14,0.22,3.3,6,,4,4,4,8,15,8,10,7,2,19,0.25,19,5,8,0.008,0.0215,0.0405,0.3265
cEDH,vilis-broker-of-blood,0,100,12,32,100,2.5,0.22,4.7,11,,9,2,10,6,8,4,1,11,1,23,0.16,15,5,9,0,0,0,0.024
cEDH,yawgmoth-thran-physician,0,100,11,28,100,1.83,0.32,4.2,,,8,0,0,5,3,2,0,8,1,21,0.1,10,5,,0,0,0,0
